Timestamp,Start,End,Walls,Path Length,Agent Type,Noise Level,Max Depth,Success,Nodes Explored,Search Time (μs)
2025-04-28 20:03:28,"(9, 1)","(10, 13)",68,16,Dynamic,N/A,N/A,Yes,25,125
2025-04-28 20:03:46,"(9, 1)","(3, 11)",68,17,Dynamic,N/A,N/A,Yes,39,221
2025-04-28 20:03:51,"(9, 1)","(11, 14)",68,18,Dynamic,N/A,N/A,Yes,33,160
2025-04-28 20:03:51,"(9, 1)","(11, 14)",68,18,Dynamic,N/A,N/A,Yes,33,176
2025-04-28 20:03:52,"(9, 1)","(11, 14)",68,18,Dynamic,N/A,N/A,Yes,33,173
2025-04-28 20:03:58,"(9, 1)","(11, 14)",68,18,Dynamic,N/A,N/A,Yes,33,175
