Timestamp,Start,End,Walls,Path Length,Agent Type,Noise Level,Max Depth,Success,Nodes Explored,Search Time (μs)
2025-04-28 19:53:49,"(13, 4)","(6, 12)",70,-1,Depth,N/A,5,No,6,50
2025-04-28 19:53:51,"(13, 4)","(13, 7)",70,4,Depth,N/A,5,Yes,4,36
