Timestamp,Start,End,Walls,Path Length,Agent Type,Noise Level,Max Depth,Success,Nodes Explored,Search Time (μs)
2025-04-28 16:58:50,"(13, 1)","(14, 12)",68,15,Noise,7,N/A,Yes,25,468
2025-04-28 16:59:01,"(13, 1)","(2, 12)",68,23,Noise,7,N/A,Yes,46,217
2025-04-28 16:59:04,"(13, 1)","(13, 14)",68,26,Noise,7,N/A,Yes,74,682
2025-04-28 16:59:10,"(13, 1)","(12, 13)",68,26,Noise,7,N/A,Yes,75,321
2025-04-28 16:59:13,"(13, 1)","(5, 0)",68,-1,Noise,7,N/A,No,131,559
2025-04-28 16:59:15,"(13, 1)","(3, 0)",68,-1,Noise,7,N/A,No,131,572
2025-04-28 16:59:17,"(13, 1)","(1, 0)",68,-1,Noise,7,N/A,No,131,527
2025-04-28 16:59:22,"(13, 1)","(1, 0)",67,28,Noise,7,N/A,Yes,66,334
