Timestamp,Start,End,Walls,Path Length,Agent Type,Noise Level,Max Depth,Success,Nodes Explored,Search Time (μs)
2025-05-02 18:24:39,"(1, 6)","(12, 10)",69,-1,Depth,N/A,14,No,15,147
2025-05-02 18:24:41,"(1, 6)","(10, 5)",69,-1,Depth,N/A,14,No,15,98
2025-05-02 18:24:42,"(1, 6)","(7, 4)",69,9,Depth,N/A,14,Yes,14,87
2025-05-02 21:48:45,"(13, 6)","(13, 9)",68,-1,Depth,N/A,2,No,3,45
2025-05-02 21:48:47,"(13, 6)","(13, 8)",68,-1,Depth,N/A,2,No,3,57
2025-05-02 21:48:49,"(13, 6)","(12, 7)",68,-1,Depth,N/A,2,No,3,73
2025-05-02 21:48:51,"(13, 6)","(14, 7)",68,-1,Depth,N/A,2,No,3,35
2025-05-02 23:17:42,"(3, 8)","(11, 10)",74,13,Depth,N/A,25,Yes,25,125
