Timestamp,Start,End,Walls,Path Length,Agent Type,Noise Level,Max Depth,Success,Nodes Explored,Search Time (μs)
2025-05-01 02:25:07,"(11, 10)","(6, 7)",71,9,Dynamic,N/A,N/A,Yes,9,150
2025-05-01 02:53:46,"(11, 5)","(7, 10)",0,10,Dynamic,N/A,N/A,Yes,10,108
2025-05-01 02:58:33,"(13, 9)","(5, 9)",71,11,Dynamic,N/A,N/A,Yes,12,81
2025-05-01 02:59:15,"(13, 4)","(1, 13)",0,22,Dynamic,N/A,N/A,Yes,22,210
2025-05-01 02:59:54,"(8, 7)","(14, 1)",0,13,Dynamic,N/A,N/A,Yes,43,227
2025-05-01 03:20:59,"(14, 11)","(4, 8)",71,14,Dynamic,N/A,N/A,Yes,16,243
2025-05-01 03:38:11,"(13, 10)","(8, 10)",71,8,Dynamic,N/A,N/A,Yes,8,105
2025-05-01 03:40:51,"(10, 6)","(4, 13)",0,14,Dynamic,N/A,N/A,Yes,14,124
2025-05-01 03:43:46,"(13, 10)","(13, 3)",72,10,Dynamic,N/A,N/A,Yes,13,111
2025-05-01 03:43:53,"(13, 10)","(9, 7)",72,8,Dynamic,N/A,N/A,Yes,9,67
2025-05-01 03:44:48,"(13, 10)","(10, 10)",72,8,Dynamic,N/A,N/A,Yes,13,87
2025-05-01 03:44:53,"(13, 10)","(13, 3)",72,10,Dynamic,N/A,N/A,Yes,13,81
2025-05-01 03:50:34,"(13, 5)","(4, 13)",0,18,Dynamic,N/A,N/A,Yes,18,180
2025-05-01 03:50:41,"(13, 5)","(12, 13)",0,10,Dynamic,N/A,N/A,Yes,10,131
2025-05-01 03:50:45,"(13, 5)","(9, 1)",0,9,Dynamic,N/A,N/A,Yes,9,68
2025-05-01 03:55:14,"(12, 3)","(4, 9)",0,15,Dynamic,N/A,N/A,Yes,15,158
2025-05-01 03:55:20,"(12, 3)","(11, 10)",0,9,Dynamic,N/A,N/A,Yes,9,295
2025-05-01 03:55:54,"(3, 4)","(11, 10)",0,15,Dynamic,N/A,N/A,Yes,63,465
2025-05-01 04:05:02,"(10, 1)","(5, 7)",66,12,Dynamic,N/A,N/A,Yes,12,182
2025-05-01 04:06:54,"(11, 2)","(4, 11)",1,17,Dynamic,N/A,N/A,Yes,17,109
2025-05-01 04:07:01,"(11, 2)","(10, 11)",1,11,Dynamic,N/A,N/A,Yes,11,103
2025-05-01 04:07:06,"(11, 2)","(14, 11)",1,13,Dynamic,N/A,N/A,Yes,37,181
2025-05-01 04:07:31,"(6, 9)","(12, 4)",0,12,Dynamic,N/A,N/A,Yes,37,369
2025-05-01 04:07:36,"(6, 9)","(3, 8)",0,5,Dynamic,N/A,N/A,Yes,5,55
2025-05-01 04:07:39,"(6, 9)","(10, 2)",0,12,Dynamic,N/A,N/A,Yes,33,270
2025-05-01 04:08:49,"(4, 7)","(12, 3)",0,13,Dynamic,N/A,N/A,Yes,41,586
2025-05-01 04:08:55,"(4, 7)","(5, 0)",0,9,Dynamic,N/A,N/A,Yes,9,132
2025-05-01 04:09:01,"(4, 7)","(4, 14)",0,8,Dynamic,N/A,N/A,Yes,8,70
2025-05-01 04:09:05,"(4, 7)","(4, 0)",0,8,Dynamic,N/A,N/A,Yes,8,94
2025-05-01 04:09:10,"(4, 7)","(4, 0)",0,8,Dynamic,N/A,N/A,Yes,8,101
2025-05-01 04:09:13,"(4, 7)","(4, 0)",0,8,Dynamic,N/A,N/A,Yes,8,84
2025-05-01 04:09:18,"(4, 7)","(4, 14)",0,8,Dynamic,N/A,N/A,Yes,8,75
2025-05-01 04:09:43,"(4, 7)","(4, 14)",0,8,Dynamic,N/A,N/A,Yes,8,80
2025-05-01 04:09:46,"(4, 7)","(4, 0)",0,8,Dynamic,N/A,N/A,Yes,8,77
2025-05-01 04:09:49,"(4, 7)","(4, 0)",0,8,Dynamic,N/A,N/A,Yes,8,228
2025-05-01 04:14:13,"(13, 4)","(4, 8)",0,14,Dynamic,N/A,N/A,Yes,14,149
2025-05-01 04:14:18,"(13, 4)","(4, 0)",0,14,Dynamic,N/A,N/A,Yes,14,103
2025-05-01 04:14:46,"(9, 5)","(4, 8)",71,9,Dynamic,N/A,N/A,Yes,9,87
2025-05-01 04:14:52,"(9, 5)","(8, 2)",71,5,Dynamic,N/A,N/A,Yes,5,44
2025-05-01 04:14:55,"(9, 5)","(7, 2)",71,6,Dynamic,N/A,N/A,Yes,8,53
2025-05-01 04:30:47,"(12, 5)","(7, 2)",71,9,Dynamic,N/A,N/A,Yes,10,71
2025-05-01 04:31:19,"(10, 9)","(14, 6)",0,8,Dynamic,N/A,N/A,Yes,17,129
2025-05-01 04:31:28,"(10, 9)","(14, 9)",0,5,Dynamic,N/A,N/A,Yes,5,101
2025-05-01 04:32:02,"(5, 7)","(14, 7)",0,10,Dynamic,N/A,N/A,Yes,10,165
2025-05-01 04:32:10,"(5, 7)","(5, 8)",0,-1,Dynamic,N/A,N/A,No,0,0
2025-05-01 04:32:12,"(5, 7)","(13, 8)",0,10,Dynamic,N/A,N/A,Yes,18,108
2025-05-01 04:32:17,"(5, 7)","(14, 8)",0,11,Dynamic,N/A,N/A,Yes,20,121
2025-05-01 04:32:23,"(5, 7)","(1, 6)",0,6,Dynamic,N/A,N/A,Yes,6,50
2025-05-01 04:32:49,"(3, 7)","(12, 6)",0,11,Dynamic,N/A,N/A,Yes,19,126
2025-05-01 04:32:53,"(3, 7)","(3, 0)",0,8,Dynamic,N/A,N/A,Yes,8,95
2025-05-01 04:32:57,"(3, 7)","(3, 14)",0,8,Dynamic,N/A,N/A,Yes,8,118
2025-05-01 04:33:01,"(3, 7)","(5, 14)",0,10,Dynamic,N/A,N/A,Yes,24,130
2025-05-01 04:33:29,"(4, 5)","(11, 5)",0,8,Dynamic,N/A,N/A,Yes,8,67
2025-05-01 04:33:38,"(4, 5)","(4, 12)",0,8,Dynamic,N/A,N/A,Yes,8,114
2025-05-01 04:34:38,"(4, 6)","(13, 6)",0,10,Dynamic,N/A,N/A,Yes,10,111
2025-05-01 04:34:41,"(4, 6)","(4, 1)",0,6,Dynamic,N/A,N/A,Yes,6,98
2025-05-01 04:34:49,"(4, 6)","(4, 13)",0,8,Dynamic,N/A,N/A,Yes,8,65
2025-05-01 04:34:59,"(4, 6)","(0, 6)",0,5,Dynamic,N/A,N/A,Yes,5,49
2025-05-01 04:36:33,"(10, 6)","(0, 6)",0,11,Dynamic,N/A,N/A,Yes,11,90
2025-05-01 04:36:50,"(10, 13)","(0, 6)",0,18,Dynamic,N/A,N/A,Yes,18,144
2025-05-01 04:37:20,"(3, 8)","(13, 8)",0,11,Dynamic,N/A,N/A,Yes,11,122
2025-05-01 04:39:04,"(10, 6)","(2, 6)",0,9,Dynamic,N/A,N/A,Yes,9,139
