Timestamp,Start,End,Walls,Path Length,Agent Type,Noise Level,Max Depth,Success,Nodes Explored,Search Time (μs)
2025-05-01 04:40:31,"(12, 5)","(5, 5)",0,8,Dynamic,N/A,N/A,Yes,8,89
2025-05-01 04:40:54,"(11, 7)","(5, 7)",0,7,Dynamic,N/A,N/A,Yes,7,118
2025-05-01 04:41:02,"(11, 7)","(11, 0)",0,8,Dynamic,N/A,N/A,Yes,8,156
2025-05-01 04:41:53,"(11, 5)","(4, 5)",0,8,Dynamic,N/A,N/A,Yes,8,82
2025-05-01 04:42:19,"(13, 5)","(5, 5)",0,9,Dynamic,N/A,N/A,Yes,9,111
2025-05-01 04:42:30,"(13, 5)","(13, 12)",0,8,Dynamic,N/A,N/A,Yes,8,62
2025-05-01 04:43:44,"(8, 0)","(4, 6)",77,11,Dynamic,N/A,N/A,Yes,17,112
2025-05-01 04:45:02,"(10, 1)","(14, 10)",68,14,Dynamic,N/A,N/A,Yes,35,221
2025-05-01 04:45:27,"(12, 6)","(3, 6)",0,10,Dynamic,N/A,N/A,Yes,10,86
2025-05-01 04:46:46,"(10, 4)","(2, 8)",0,13,Dynamic,N/A,N/A,Yes,13,92
