Start,End,Walls,Path Length,Agent Type,Noise Level,Max Depth,Success,Timestamp
"(14, 1)","(14, 9)",73,-1,Depth,N/A,5,No,2025-04-27 05:57:47
"(14, 1)","(14, 6)",73,-1,Depth,N/A,5,No,2025-04-27 05:57:49
"(14, 1)","(14, 4)",73,4,Depth,N/A,5,Yes,2025-04-27 05:57:51
"(14, 1)","(14, 2)",73,-1,Depth,N/A,5,No,2025-04-27 05:58:58
"(10, 1)","(7, 9)",69,-1,Depth,N/A,5,No,2025-04-27 06:27:48
"(10, 1)","(9, 4)",69,5,Depth,N/A,5,Yes,2025-04-27 06:27:50
